sku,marca,categoria,descripcion,codigo,tipoCodigo,proveedor,precioLista
000HS-E0002PE,,,CAMILLA CON RUEDAS,,,Autopartes del Sur,205689.99
0082-20-00 (STD),,,PISTONES FIAT - 600 - 750CC (STD)(62.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,52905.21
0082-20-13 (0.40),,,PISTONES FIAT - 600 - 750CC (STD)(62.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,52905.21
0082-20-15 (0.60),,,PISTONES FIAT - 600 - 750CC (+0.60MM)(62.60MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,52905.21
0082-20-17 (0.80),,,PISTONES FIAT - 600 - 750CC (+0.80MM)(62.80MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,52905.21
0082-20-18 (1.00),,,PISTONES FIAT - 600 - 750CC (+1.00MM)(63.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,52905.21
0082-20-20 (1.50),,,PISTONES FIAT - 600 - 750CC (+1.50MM)(63.500MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,39793.82
0098-20-00 (STD),,,PISTONES FIAT - 1500 - BERLINA / MULTICARGA (STD)(77.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,60150.64
0098-20-15 (0.60),,,PISTONES FIAT - 1500 - BERLINA / MULTICARGA (+0.60MM)(77.60MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,60150.64
0098-20-18 (1.00),,,PISTONES FIAT - 1500 - BERLINA / MULTICARGA (+1.00MM)(78.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,60150.64
0107-60-00,,,CONJUNTO PEUGEOT - 404 - (84MM)(REL COMP 7.6:1 / PERNO 22MM / CAM ANILLO GOMA),,,Autopartes del Sur,628079.91
0109-20-00 (STD),,,PISTONES RENAULT / IKA - CONTINENTAL (STD)(84.07MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,65956.93
0109-20-44 (.030),,,PISTONES RENAULT / IKA - CONTINENTAL (+030)(84.82MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,65956.93
0109-20-45 (.040),,,PISTONES RENAULT / IKA - CONTINENTAL (+040)(85.07MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,65956.93
0110-20-61,,,PISTONES RENAULT - DAUPHINE / GORDINI / 4L - 850CC (STD)(58.00MM)(PERNO 14MM)(SE VENDEN POR JUEGO),,,Autopartes del Sur,41978.02
0110-20-62,,,PISTONES RENAULT - DAUPHINE / GORDINI / 4L - 850CC (STD)(58.00MM)(PERNO 14MM)(SE VENDEN POR JUEGO),,,Autopartes del Sur,41978.02
0110-20-63,,,PISTONES RENAULT - DAUPHINE / GORDINI / 4L - 850CC (STD)(58.00MM)(PERNO 14MM)(SE VENDEN POR JUEGO),,,Autopartes del Sur,41978.02
0110-20-64,,,PISTONES RENAULT - DAUPHINE / GORDINI / 4L - 850CC (STD)(58.00MM)(PERNO 14MM)(SE VENDEN POR JUEGO),,,Autopartes del Sur,41978.02
0110-20-65,,,PISTONES RENAULT - DAUPHINE / GORDINI / 4L - 850CC (STD)(58.00MM)(PERNO 14MM)(SE VENDEN POR JUEGO),,,Autopartes del Sur,41978.02
0110-20-80 (STD),,,PISTONES RENAULT - DAUPHINE / GORDINI / 4L - 850CC (STD)(58.00MM)(PERNO 14MM)(SE VENDEN POR JUEGO),,,Autopartes del Sur,41978.02
0111-20-00 (STD),,,PISTONES FIAT - 1500 - BERLINA / MULTICARGA (STD)(77.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,81890.99
0111-20-15 (0.60),,,PISTONES FIAT - 1500 - BERLINA / MULTICARGA (+0.60MM)(77.60MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,68269.16
0111-20-18 (1.00),,,PISTONES FIAT - 1500 - BERLINA / MULTICARGA (+1.00MM)(78.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,81890.99
0119-20-63,,,PISTONES BEDFORD - 300 DIESEL (STD)(98.42MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,100285.23
0119-20-64,,,PISTONES BEDFORD - 300 DIESEL (STD)(98.42MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,100285.23
0119-20-65,,,PISTONES BEDFORD - 300 DIESEL (STD)(98.42MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,100285.23
0119-20-66,,,PISTONES BEDFORD - 300 DIESEL (STD)(98.42MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,100285.23
0120-20-00 (STD),,,PISTONES RASTROJERO - 42 HP (STD)(78.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,74498.65
0120-20-14 (0.50),,,PISTONES RASTROJERO - 42 HP (+0.50MM)(78.50MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,74498.65
0120-20-18 (1.00),,,PISTONES RASTROJERO - 42 HP (+1.00MM)(79.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,74498.65
0121-20-00 (STD),,,PISTONES CHEVROLET - 230 BAJA COMPRESION (STD)(98.42MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,69826.85
0121-20-44 (.030),,,PISTONES CHEVROLET - 230 BAJA COMPRESION (+0.30)(99.17MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,69826.85
0121-20-45 (.040),,,PISTONES CHEVROLET - 230 BAJA COMPRESION (+0.40)(99.42MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,69826.85
0121-50(.030),,,SUBCONJUNTO CHEVROLET - 230 BAJA COMPRESION (+0.30)(99.17MM),,,Autopartes del Sur,523704.64
0121-50(.040),,,SUBCONJUNTO CHEVROLET - 230 BAJA COMPRESION (+0.40)(99.42MM),,,Autopartes del Sur,523704.64
0121-50(STD),,,SUBCONJUNTO CHEVROLET - 230 BAJA COMPRESION (STD)(98.42MM),,,Autopartes del Sur,523704.64
0128-20-00 (STD),,,PISTONES FORD - F100 - V8 (STD)(95.25MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,63056.83
0128-20-44 (.030),,,PISTONES FORD - F100 - V8 (+0.30)(96.00MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,63056.83
0128-20-45 (.040),,,PISTONES FORD - F100 - V8 (+0.40)(96.25MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,63056.83
0128-20-47 (.060),,,PISTONES FORD - F100 - V8 (+0.60)(96.75MM)(SE VENDE POR JUEGO),,,Autopartes del Sur,63056.83
