sku,marca,categoria,descripcion,codigo,tipoCodigo,proveedor,precioLista
ZSD1950350,,,SUBCONJUNTO CHEVROLET - 1.6 8V C16NZ (+0.50MM)(79.50MM),,,Autopartes del Sur,209512.07
ZSE0078350,,,SUBCONJUNTO MERCEDES BENZ - OM352A (5 AROS / ASPIRADO)(+0.50MM)(97.50MM),,,Autopartes del Sur,368008.23
ZSE0097140,,,SUBCONJUNTO FORD - 221 (BAJA COMPRESION +0.7)(+0.40)(94.47MM),,,Autopartes del Sur,450903.73
ZSE0097160,,,SUBCONJUNTO FORD - 221 (BAJA COMPRESION +0.7)(+0.60)(94.97MM),,,Autopartes del Sur,450903.73
ZSE1248350,,,SUBCONJUNTO MERCEDES BENZ - OM366 ASPIRADO (3 AROS)(+0.50MM)(98.00MM),,,Autopartes del Sur,407296.89
ZSE1583000,,,SUBCONJUNTO CUMMINS - SERIE B (TURBO / PERNO CORTO)(STD)(102.00MM),,,Autopartes del Sur,423414.81
ZSE1781000,,,SUBCONJUNTO CHEVROLET - CRUZE / TRACKER - 1.8 16V ECOTEC (STD)(80.50MM),,,Autopartes del Sur,289757.69
ZSE1781350,,,SUBCONJUNTO CHEVROLET - CRUZE / TRACKER - 1.8 16V ECOTEC (+0.50MM)(81.00MM),,,Autopartes del Sur,289757.69
ZSE1950000,,,SUBCONJUNTO CHEVROLET - AVEO - 1.6 16V (STD)(79.00MM),,,Autopartes del Sur,306582
ZSE1950350,,,SUBCONJUNTO CHEVROLET - AVEO - 1.6 16V (+0.50MM)(79.50MM),,,Autopartes del Sur,306582
ZSF0088000,,,SUBCONJUNTO PEUGEOT - 1.6 16V TURBO THP EP6 (STD)(77.00MM)(SEGUNDO ARO 1.2MM)(REBAJE VALVULA CHICO),,,Autopartes del Sur,352002.11
ZSF0088350,,,SUBCONJUNTO PEUGEOT - 1.6 16V TURBO THP EP6 (+0.50MM)(77.50MM)(SEGUNDO ARO 1.2MM)(REBAJE VALVULA CHICO),,,Autopartes del Sur,352002.11
ZSF1575000,,,SUBCONJUNTO FIAT - 1.3 8V MPI (STD)(76.00MM),,,Autopartes del Sur,326526.7
ZSF1575360,,,SUBCONJUNTO FIAT - 1.3 8V MPI (+0.60MM)(76.60MM),,,Autopartes del Sur,326526.7
ZSF1776000,,,SUBCONJUNTO VOLKSWAGEN - 1.4 8V EA111 (STD)(76.50MM),,,Autopartes del Sur,316008.28
ZSF1776350,,,SUBCONJUNTO VOLKSWAGEN - 1.4 8V EA111 (+0.50MM)(77.00MM),,,Autopartes del Sur,316008.28
ZSF1786000,,,SUBCONJUNTO VOLKSWAGEN - 1.6 8V AKL (STD)(81.00MM),,,Autopartes del Sur,251105.4
ZSF1786350,,,SUBCONJUNTO VOLKSWAGEN - 1.6 8V AKL (+0.50MM)(81.50MM),,,Autopartes del Sur,251105.4
ZSG0078350,,,SUBCONJUNTO MERCEDES BENZ - OM314 / OM352 (3 RANURAS)(ALT COMPRESION 64.90MM)(+0.50MM)(97.50MM),,,Autopartes del Sur,364358.36
ZSG0088000,,,SUBCONJUNTO PEUGEOT - 1.6 16V TURBO THP EP6 (STD)(77.00MM)(SEGUNDO ARO 1.5MM)(REBAJE VALVULA GRANDE),,,Autopartes del Sur,298715.92
ZSG0088350,,,SUBCONJUNTO PEUGEOT - 1.6 16V TURBO THP EP6 (+0.50MM)(77.50MM)(SEGUNDO ARO 1.5MM)(REBAJE VALVULA GRANDE),,,Autopartes del Sur,298715.92
ZSH1575000,,,SUBCONJUNTO RENAULT - 1.5 DCI K9K (PERNO 26MM)(STD)(76.00MM),,,Autopartes del Sur,396019.26
ZSH1575350,,,SUBCONJUNTO RENAULT - 1.5 DCI K9K (PERNO 26MM)(+0.50MM)(76.50MM),,,Autopartes del Sur,396019.26
ZSI1248000,,,SUBCONJUNTO MERCEDES BENZ - OM366LA (REL DE COMP 18:1 / BIELA TRAPEZOIDAL)(STD)(97.50MM),,,Autopartes del Sur,417021.69
ZSJ0078350,,,SUBCONJUNTO MERCEDES BENZ - OM352A (3 AROS / TURBO)BAJA COMPRESION (+0.50MM)(97.50MM),,,Autopartes del Sur,416718.26
ZSR1204000,,,SUBCONJUNTO VOLKSWAGEN - 1.9 8V DIESEL (STD)(79.50MM),,,Autopartes del Sur,310948.09
ZSR1204350,,,SUBCONJUNTO VOLKSWAGEN - 1.9 8V DIESEL (+0.50MM)(80.00MM),,,Autopartes del Sur,310948.09
ZSR1782000,,,SUBCONJUNTO FORD - 1.8 DIESEL ENDURA (STD)(82.50MM),,,Autopartes del Sur,310626.22
ZSR1782350,,,SUBCONJUNTO FORD - 1.8 DIESEL ENDURA (+0.50MM)(83.00MM),,,Autopartes del Sur,310626.22
ZSR1786000,,,SUBCONJUNTO VOLKSWAGEN / FORD - AP 1.6 8V INYECCION (STD)(81.00MM),,,Autopartes del Sur,225588.22
ZSR1786350,,,SUBCONJUNTO VOLKSWAGEN / FORD - AP 1.6 8V INYECCION (+0.50MM)(81.50MM),,,Autopartes del Sur,225588.22
ZSR1786440,,,SUBCONJUNTO VOLKSWAGEN / FORD - AP 1.6 8V INYECCION (+1.00MM)(82.0MM),,,Autopartes del Sur,225588.22
ZSR1875000,,,SUBCONJUNTO PEUGEOT / CITROEN - 1.9 TD XUD9T (STD)(83.00MM),,,Autopartes del Sur,971377.4
ZSR1950000,,,SUBCONJUNTO CHEVROLET - CORSA / TIGRA - 1.6 16V (STD)(79.00MM),,,Autopartes del Sur,341351.01
ZSS0407000,,,SUBCONJUNTO PERKINS - 6-354 F4 TURBO (STD)(98.48MM),,,Autopartes del Sur,517291.87
ZSS0444000,,,SUBCONJUNTO PERKINS - T433 TURBO (STD)(91.49MM),,,Autopartes del Sur,635792.98
ZSS1199000,,,SUBCONJUNTO FIAT - 1.6 16V TORQUE (STD)(86.40MM),,,Autopartes del Sur,289085.7
ZSS1199360,,,SUBCONJUNTO FIAT - 1.6 16V TORQUE (+0.60MM)(87.00MM),,,Autopartes del Sur,289085.7
ZSS1786000,,,SUBCONJUNTO VOLKSWAGEN / FORD - AP 1.8 8V INYECCION (STD)(81.00MM),,,Autopartes del Sur,264557.47
ZSS1786350,,,SUBCONJUNTO VOLKSWAGEN / FORD - AP 1.8 8V INYECCION (+0.50MM)(81.50MM),,,Autopartes del Sur,264557.47
