sku,marca,categoria,descripcion,codigo,tipoCodigo,proveedor,precioLista
002,MOTORLIMP,ADITIVOS,MOTORLIMP PLUS X 5 LTS.,,,EGSA,79876.13
003,MOTORLIMP,ADITIVOS,MOTORLIMP PLUS X 20 LTS.,,,EGSA,304565.63
0245,MOTORLIMP,ADITIVOS,MOTORLIMP X 480 CC,,,EGSA,11370.44
005,PATRIOT POWER,ADITIVOS,MT-10 TRATAMIENTO DEL MOTOR 8 OZ.(240CC),,,EGSA,44082.28
006,PATRIOT POWER,ADITIVOS,TM-10 TRATAMIENTO TRANSMISION 8 OZ.(240CC),,,EGSA,44082.28
023,PATRIOT POWER,ADITIVOS,FT-10 TRATAMIENTO COMBUSTIBLE 2 OZ,,,EGSA,11416.17
024,PATRIOT POWER,ADITIVOS,CR-10 COMMON RAIL 7OZ,,,EGSA,29003.06
029,PATRIOT POWER,ADITIVOS,IC-10 LIMPIADOR DE INYECTORES 7 OZ,,,EGSA,27096.14
053,PATRIOT POWER,ADITIVOS,SG-10 SELLADOR DE FISURAS 4 OZ.,,,EGSA,14278.55
054,PATRIOT POWER,ADITIVOS,SG-10 SELLADOR DE FISURAS 8 OZ,,,EGSA,28557.19
160,PATRIOT POWER,ADITIVOS,SF-10 SMOKE FREE ( NO HUMO) 12 OZ.,,,EGSA,54991.78
188,PATRIOT POWER,ADITIVOS,MT-10 TRATAMIENTO DEL MOTOR 4 OZ.,,,EGSA,21187.64
198,PATRIOT POWER,ADITIVOS,TM-10 TRATAMIENTO TRANSMISION 4 OZ.,,,EGSA,21187.62
ARESQR484F*N*CH,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS CHERY SQR484F   TIGO 2.0 16V  NEW    SET 2 PCS   13/18,,,EGSA,682563.75
ARFE-TORQ1.6*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS FIAT E-TORQ **STD**    SIENA/ PALIO  1.6CC  16V  11/19,,,EGSA,213082.71
ARFFIEA*ADM*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL  LEVAS   FIAT   FIEA  **STD**  --ADM--    DUCATO 2.3 JTD 16V  MU,,,EGSA,241652.02
ARFFIEA*ESC*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL  LEVAS   FIAT   FIEA  **STD**  --ESC--    DUCATO 2.3 JTD 16V  MU,,,EGSA,241652.02
ARFFIRE1.4*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS  FIAT FIRE-FLEX   **STD**   1.4CC 8V  UNO/PALIO/SIENA/P,,,EGSA,112167.89
ARFGBVA*2.2*SET*CH,AKURO,ARBOLES DE LEVAS,JGO ARBOL  LEVAS  FORD GBVA  RANGER 2.2 TDCI 16V 13/16   PTA C/RANURA,,,EGSA,796057.45
ARHD4BF*AK,AKURO,ARBOLES DE LEVAS,ARB DE LEVA HYUNDAI D4BF GALLOPER TDI 2500,,,EGSA,126345.21
ARNYD25DDTI*SET*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS NISSAN YD-25DDTI   **STD** --SET ADM/ESC--    FRONTIER/,,,EGSA,425107.69
ARPDV6*8V*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS  PEUGEOT DV6  **STD**      PARTNER / 207  1.6CC  8V  TD,,,EGSA,216594.52
ARRD4F*1.00*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS  RENAULT D4F/D4D   **+1.00**    CLIO 1.2 NAFT  16V,,,EGSA,169713.96
ARRG9U*ADM*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS RENAULT G9U   **STD**   --ADM--  MASTER 2.5 DCI 16V,,,EGSA,227538.96
ARRG9U*ESC*STD*AK,AKURO,ARBOLES DE LEVAS,ARBOL DE LEVAS RENAULT G9U   **STD**   --ESC--  MASTER 2.5 DCI 16V,,,EGSA,228020.84
