sku,marca,categoria,descripcion,codigo,tipoCodigo,proveedor,precioLista
910938,TARANTO,VARIOS,JUNTA CAMARA LATERAL,,,EGSA,6863.35
920014,TARANTO,VARIOS,JUNTA BOMBA AGUA NISSAN,,,EGSA,908.38
921917,TARANTO,VARIOS,"JUNTA MULT.ADMISION TOYOTA 2L 2446CC 8V, HI-ACE / HILUX / TOYO-ACE/ CR",,,EGSA,13524.84
922325,TARANTO,VARIOS,JUEGO SELLO INYECTOR  TOYOTA 1KD-FTV 16V HI LUX 2982C,,,EGSA,14736.02
923324,TARANTO,VARIOS,JUEGO JUNTAS INYEC.ELEC.MULTIPUNTO TOYOTA COROLLA 97/...,,,EGSA,81451.83
940014,TARANTO,VARIOS,JUNTA BOMBA AGUA DAEWOO,,,EGSA,1917.7
950036,TARANTO,VARIOS,JUNTA CUB.BDA.TRAS.A BLOCK -DAIHATSU,,,EGSA,1917.7
950050,TARANTO,VARIOS,JUEGO CAJA VEL. DAIHATSU CAB-VAN M C,,,EGSA,4239.13
950085,TARANTO,VARIOS,SUPLEM.PARA TAPA CILINDROS DAIHATSU,,,EGSA,5248.45
950129,TARANTO,VARIOS,JUNTA BANCADA TRASERA,,,EGSA,1917.7
960024,TARANTO,VARIOS,"JUEGO JUNTAS INYEC.ELEC.MULTIPUNTO C/JUNT, MULT. ADMISION  MITSUBISHI",,,EGSA,120613.31
960534,TARANTO,VARIOS,JTC D 318 12 70 D-CATERPILLAR,,,EGSA,365540.09
961024,TARANTO,VARIOS,"JUEGO JUNTAS INYEC.ELEC.MULTIPUNTO C/JUNT, MULT. ADMISION  MITSUBISHI",,,EGSA,80240.65
970314,TARANTO,VARIOS,JUNTA BOMBA DE AGUA MAZDA 626,,,EGSA,1715.84
970935,TARANTO,VARIOS,JUNTA TAPA INSP.ARBOL LEVAS LADA,,,EGSA,1009.32
971830,TARANTO,VARIOS,"JUNTA - MAZDA 4 CILINDRO   1.8/2.0 LTRS. F8, FE",,,EGSA,2422.36
971831,TARANTO,VARIOS,"JUNTA - MAZDA 4 CILINDRO   1.8/2.0 LTRS. F8, FE",,,EGSA,1715.84
971834,TARANTO,VARIOS,"JUNTA - MAZDA 4 CILINDRO   1.8/2.0 LTRS. F8, FE",,,EGSA,1009.32
971842,TARANTO,VARIOS,"JUNTA  MAZDA 4 CILINDRO   1.8/2.0 LTRS. F8, FE",,,EGSA,5046.58
990617,TARANTO,VARIOS,KIT ADMISION HYUNDAI I10 1.0 12V,,,EGSA,26847.82
990714,TARANTO,VARIOS,"JUNTA BBA AGUA HYUNDAI/KIA  I30, TUCSON/SPORTAGE CERATO MOTOR G4GC 197",,,EGSA,908.38
CAL244200,TARANTO,VARIOS,CABALLETE DE LEVAS ONIX/PRISMA 1.4L C/SENSOR ORIF SENSOR 20MM,,,EGSA,203452.03
CG213-1.50,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,31389.74
CG213-2.00,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,41987.56
CG213-2.50,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,52484.45
CG213-3.00,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,62981.34
CG213-3.50,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,66513.95
CG213-4.00,TARANTO,VARIOS,CORCHO Y GOMA 213  630X920,,,EGSA,83874.19
CG213-5.00,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,104767.04
CG213-6.00,TARANTO,VARIOS,CORCHO Y GOMA 213  620X920,,,EGSA,125861.76
CG213-7.00,TARANTO,VARIOS,CORCHO Y GOMA 620 X 920 ESP.7 MM.,,,EGSA,146855.54
A-20,WINCHESTER,VARIOS,AMORTIGUADOR DE CADENA MOTOR TORNADO,,,EGSA,26092.44
TAP80,WINCHESTER,VARIOS,"TAPON ENG ARBOL LEVAS GM-CRUZE-TRACKER-SONIC 1,6/1,8",,,EGSA,29718.75
EZF153*T,AKURO,VISCOSO,EMBRAGUE HIDRA. VENT. VISCOSO FORD 140/153 2.3/2.5,,,EGSA,269349.7
PO518,VMG,VISCOSO,EMB VENT FORD RANGER 2.5 TD (MOTOR MAXION),,,EGSA,173359.46
PO545,VMG,VISCOSO,EMBR.VENT.TOYOTA HILUX-LANDCRUSIER,,,EGSA,150257.52
PO557,VMG,VISCOSO,"EMBR.VENT.FORD RANGER 3,0 MOTOR INTERNACIONAL",,,EGSA,198136.87
PO559,VMG,VISCOSO,CUMMINS FORD CARGO 1730 / 1625 CON ACOPLE ROSCA GRUESA 97/02,,,EGSA,283065.32
PO575,VMG,VISCOSO,EMBR.VENT.IVECO MOTOR NEF 4 EUROCARGO 180 210 220 240 280CV // TECTO,,,EGSA,370755.45
PO630CPV,VMG,VISCOSO,MERCEDES BENZ  SPRINTER 311 313 413 515  C/PALETA VENTILADOR,,,EGSA,379476.03
